#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious critical,TotÿCases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
,World,681677948,11454,6812785,6,654677424,20187739,40319,87453,874,,,
,Europe,246956287,,2022671,,242582903,2350713,6454,,,,,
,Asia,214763641,11454,1538639,6,199383574,13841428,15562,,,,,
,North America,125028219,,1615421,,120426897,2985901,7512,,,,,
1,USA,105649010,,1148993,,103223189,1276828,2346,315554,3432,1169115939,3491928,334805269
,South America,68088189,,1351185,,66332130,404874,10188,,,,,
2,India,44691338,,530784,,44156651,3903,N/A,31772,377,919716776,653843,1406631776
3,France,39657165,,165213,,39430751,61201,869,604673,2519,271490188,4139547,65584518
4,Germany,38266753,,169222,,37889500,208031,N/A,456189,2017,122332384,1458359,83883596
5,Brazil,37085520,,699310,,36249161,137049,N/A,172208,3247,63776166,296146,215353593
6,Japan,33326890,,73226,,21703521,11550143,111,265374,583,96226546,766227,125584838
7,S. Korea,30650330,11401,34121,6,30445638,170571,152,597124,665,15804065,307892,51329899
8,Italy,25627473,,188538,,25294864,144071,104,425262,3129,268674307,4458380,60262770
9,UK,24396534,,207695,,24134621,54218,N/A,356165,3032,522526476,7628357,68497907
10,Russia,22433361,,396620,,21779606,257135,N/A,153858,2720,273400000,1875095,145805947
11,Turkey,17042722,,101492,,N/A,N/A,,199186,1186,162743369,1902052,85561976
,Oceania,14039059,,26243,,13873169,139647,55,,,,,
12,Spain,13778467,,119618,,13624507,34342,231,294921,2560,471036328,10082298,46719142
,Africa,12801832,,258611,,12078045,465176,548,,,,,
13,Vietnam,11527046,,43186,,10614819,869041,1,116489,436,85826548,867342,98953541
14,Australia,11385534,,19459,,11332576,33499,27,436750,746,78835048,3024116,26068792
15,Taiwan,10177165,,18549,,9935904,222712,,426026,776,30742304,1286903,23888595
16,Argentina,10044957,,130472,,9912836,1649,363,218320,2836,35716069,776264,46010234
17,Netherlands,8602266,,22992,,8563618,15656,53,499799,1336,25984435,1509718,17211447
18,Iran,7573328,,144956,,7340279,88093,407,88039,1685,55353767,643478,86022837
19,Mexico,7492112,,333243,,6729945,428924,N/A,56947,2533,19642771,149303,131562772
20,Indonesia,6739289,,160950,,6575099,3240,N/A,24144,577,114158919,408975,279134505
21,Poland,6453221,,119030,,5335940,998251,696,170993,3154,38372093,1016754,37739785
22,Colombia,6360780,,142639,,6184346,33795,342,123480,2769,36951507,717327,51512762
23,Austria,5976589,,21995,,5905634,48960,78,659179,2426,211273524,23302116,9066710
24,Greece,5896788,,36283,,5838794,21711,115,571580,3517,102228365,9909078,10316637
25,Portugal,5570473,,26266,,5539213,4994,61,549325,2590,45994869,4535728,10140570
26,Ukraine,5399231,,111298,,5270797,17136,,125005,2577,32603805,754855,43192122
27,Chile,5206380,,64323,,5132406,9651,87,270459,3341,48644255,2526949,19250195
28,Malaysia,5045192,,36967,,4998845,9380,5,152050,1114,68309333,2058684,33181072
29,Israel,4805452,,12338,,4781252,11862,57,515275,1323,41373364,4436346,9326000
30,DPRK,4772813,,74,,4772739,0,,183636,3,,,25990679
31,Belgium,4739365,,33814,,4669228,36323,43,406175,2898,36797565,3153641,11668278
32,Thailand,4728304,,33924,,4692636,1744,N/A,67472,484,17270775,246450,70078203
33,Czechia,4620419,,42506,,4569771,8142,38,430335,3959,57046964,5313226,10736784
34,Canada,4609277,,51624,,4521136,36517,99,120069,1345,66343123,1728207,38388419
35,Peru,4488259,,219587,,4266166,2506,37,133245,6519,38157518,1132801,33684208
